r,g,b,is_warm
254,37,0,1
221,39,123,1
254,89,0,1
254,153,0,1
255,221,0,1
213,251,1,0
90,219,4,0
0,147,221,0
4,50,254,0
108,42,208,0
160,39,172,0
254,186,1,1
229,33,6,1
198,32,93,1
2,45,145,1
13,82,163,0
3,94,72,0
3,137,53,0
254,99,10,1
233,34,34,1
189,30,89,0
81,92,76,0
79,123,108,0
39,84,57,0
53,117,80,0
79,147,100,0
1,197,152,0
145,218,188,0
114,207,140,0
166,220,178,0
0,166,156,0
127,217,219,0
166,229,244,0
239,249,240,0
0,0,0,0
4,4,4,0
103,103,103,0
154,154,154,0
255,207,192,0
254,216,197,0
251,216,220,0
254,162,170,0
232,113,117,0
90,127,149,0
71,157,158,0
123,207,207,0
128,178,218,0
227,241,250,0
203,49,14,1
254,156,99,1
255,207,151,1
255,206,209,1
255,115,0,1
255,171,0,1
254,223,39,1
238,233,71,1
247,211,88,1
206,112,56,1
124,60,15,1
73,92,73,1
138,162,51,1
117,54,0,1
135,69,0,1
156,88,18,1
203,134,44,1
200,139,60,1
223,155,74,1
248,178,23,1
200,160,98,1
66,91,57,1
111,85,41,1
93,57,42,1
117,204,2,1
175,222,99,1
239,155,160,1
255,255,255,1
248,195,0,1
218,37,28,1
183,103,60,1
153,174,106,1
93,150,81,1
184,219,124,1
182,221,199,0
61,116,107,0
123,196,160,0
149,70,75,0
221,39,123,0
255,249,116,0
255,252,153,1
255,251,1,1
255,204,0,1
254,153,0,1
255,124,129,1
255,51,1,1
204,28,0,1
204,102,2,1
128,13,0,1
204,237,255,0
3,253,255,0
53,152,254,0
3,38,204,0
155,102,255,0
153,45,205,0
0,204,153,0
51,153,51,0
0,102,0,0
255,237,239,1
255,241,241,1
254,252,211,1
158,250,107,1
254,252,211,1
254,254,215,1
253,253,173,1
205,247,161,1
249,204,203,1
251,205,205,1
254,253,213,1
254,211,146,1
251,251,135,1
157,250,107,1
252,226,225,0
239,220,240,0
245,212,241,0
232,230,252,0
223,253,255,0
229,251,239,0
254,208,207,0
247,210,253,0
204,206,254,0
213,210,253,0
155,253,249,0
214,248,215,0
119,119,252,0
217,77,210,0
33,38,204,0
69,225,64,0
